Customer,Product,Month,Year,Date,Sales,Financial Year
Customer 9,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 9,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 9,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 9,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 9,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 9,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 10,Product 1,April,2023,01-Apr-23,0,2023-2024
Customer 10,Product 1,May,2023,01-May-23,0,2023-2024
Customer 10,Product 1,June,2023,01-Jun-23,0,2023-2024
Customer 10,Product 1,July,2023,01-Jul-23,0,2023-2024
Customer 10,Product 1,August,2023,01-Aug-23,0,2023-2024
Customer 10,Product 1,September,2023,01-Sep-23,0,2023-2024
Customer 10,Product 1,October,2023,01-Oct-23,0,2023-2024
Customer 10,Product 1,November,2023,01-Nov-23,0,2023-2024
Customer 10,Product 1,December,2023,01-Dec-23,0,2023-2024
Customer 3,Product 2,January,2023,01-Jan-23,0,2022-2023
Customer 3,Product 2,February,2023,01-Feb-23,0,2022-2023
Customer 1,Product 3,July,2023,01-Jul-23,0,2023-2024
Customer 1,Product 3,August,2023,01-Aug-23,0,2023-2024
Customer 1,Product 3,October,2023,01-Oct-23,0,2023-2024
Customer 1,Product 3,November,2023,01-Nov-23,0,2023-2024
Customer 1,Product 2,April,2023,01-Apr-23,0,2023-2024
Customer 1,Product 2,June,2023,01-Jun-23,0,2023-2024
Customer 1,Product 2,July,2023,01-Jul-23,0,2023-2024
Customer 1,Product 2,August,2023,01-Aug-23,0,2023-2024
Customer 1,Product 2,September,2023,01-Sep-23,0,2023-2024
Customer 1,Product 2,October,2023,01-Oct-23,0,2023-2024
Customer 1,Product 2,November,2023,01-Nov-23,0,2023-2024
Customer 1,Product 4,November,2023,01-Nov-23,0,2023-2024
Customer 1,Product 5,April,2023,01-Apr-23,0,2023-2024
Customer 1,Product 6,April,2023,01-Apr-23,0,2023-2024
Customer 1,Product 6,May,2023,01-May-23,0,2023-2024
Customer 1,Product 6,June,2023,01-Jun-23,0,2023-2024
Customer 1,Product 6,August,2023,01-Aug-23,0,2023-2024
Customer 1,Product 6,September,2023,01-Sep-23,0,2023-2024
Customer 1,Product 6,October,2023,01-Oct-23,0,2023-2024
Customer 2,Product 3,October,2023,01-Oct-23,0,2023-2024
Customer 2,Product 2,July,2023,01-Jul-23,0,2023-2024
Customer 2,Product 2,October,2023,01-Oct-23,0,2023-2024
Customer 2,Product 2,November,2023,01-Nov-23,0,2023-2024
Customer 2,Product 7,April,2023,01-Apr-23,0,2023-2024
Customer 2,Product 7,May,2023,01-May-23,0,2023-2024
Customer 2,Product 7,June,2023,01-Jun-23,0,2023-2024
Customer 2,Product 7,July,2023,01-Jul-23,0,2023-2024
Customer 2,Product 7,August,2023,01-Aug-23,0,2023-2024
Customer 2,Product 7,September,2023,01-Sep-23,0,2023-2024
Customer 2,Product 7,October,2023,01-Oct-23,0,2023-2024
Customer 2,Product 7,November,2023,01-Nov-23,0,2023-2024
Customer 2,Product 7,December,2023,01-Dec-23,0,2023-2024
Customer 2,Product 8,April,2023,01-Apr-23,0,2023-2024
Customer 2,Product 8,May,2023,01-May-23,0,2023-2024
Customer 2,Product 8,June,2023,01-Jun-23,0,2023-2024
Customer 2,Product 8,July,2023,01-Jul-23,0,2023-2024
Customer 2,Product 8,August,2023,01-Aug-23,0,2023-2024
Customer 2,Product 8,September,2023,01-Sep-23,0,2023-2024
Customer 2,Product 8,October,2023,01-Oct-23,0,2023-2024
Customer 2,Product 8,November,2023,01-Nov-23,0,2023-2024
Customer 2,Product 8,December,2023,01-Dec-23,0,2023-2024
Customer 2,Product 5,April,2023,01-Apr-23,0,2023-2024
Customer 2,Product 6,April,2023,01-Apr-23,0,2023-2024
Customer 2,Product 6,May,2023,01-May-23,0,2023-2024
Customer 2,Product 6,July,2023,01-Jul-23,0,2023-2024
Customer 3,Product 2,April,2023,01-Apr-23,0,2023-2024
Customer 3,Product 2,June,2023,01-Jun-23,0,2023-2024
Customer 3,Product 2,July,2023,01-Jul-23,0,2023-2024
Customer 3,Product 2,August,2023,01-Aug-23,0,2023-2024
Customer 3,Product 2,September,2023,01-Sep-23,0,2023-2024
Customer 3,Product 2,October,2023,01-Oct-23,0,2023-2024
Customer 3,Product 2,November,2023,01-Nov-23,0,2023-2024
Customer 3,Product 2,December,2023,01-Dec-23,0,2023-2024
Customer 3,Product 5,September,2023,01-Sep-23,0,2023-2024
Customer 3,Product 6,April,2023,01-Apr-23,0,2023-2024
Customer 3,Product 6,November,2023,01-Nov-23,0,2023-2024
Customer 5,Product 2,May,2023,01-May-23,0,2023-2024
Customer 5,Product 2,June,2023,01-Jun-23,0,2023-2024
Customer 5,Product 2,July,2023,01-Jul-23,0,2023-2024
Customer 5,Product 2,August,2023,01-Aug-23,0,2023-2024
Customer 5,Product 2,November,2023,01-Nov-23,0,2023-2024
Customer 5,Product 2,December,2023,01-Dec-23,0,2023-2024
Customer 5,Product 8,April,2023,01-Apr-23,0,2023-2024
Customer 5,Product 8,May,2023,01-May-23,0,2023-2024
Customer 5,Product 8,June,2023,01-Jun-23,0,2023-2024
Customer 5,Product 8,July,2023,01-Jul-23,0,2023-2024
Customer 5,Product 8,August,2023,01-Aug-23,0,2023-2024
Customer 5,Product 8,September,2023,01-Sep-23,0,2023-2024
Customer 5,Product 8,October,2023,01-Oct-23,0,2023-2024
Customer 5,Product 8,November,2023,01-Nov-23,0,2023-2024
Customer 5,Product 8,December,2023,01-Dec-23,0,2023-2024
Customer 5,Product 5,April,2023,01-Apr-23,0,2023-2024
Customer 5,Product 5,June,2023,01-Jun-23,0,2023-2024
Customer 5,Product 5,August,2023,01-Aug-23,0,2023-2024
Customer 5,Product 5,September,2023,01-Sep-23,0,2023-2024
Customer 5,Product 5,December,2023,01-Dec-23,0,2023-2024
Customer 5,Product 6,April,2023,01-Apr-23,0,2023-2024
Customer 5,Product 6,May,2023,01-May-23,0,2023-2024
Customer 5,Product 6,July,2023,01-Jul-23,0,2023-2024
Customer 5,Product 6,October,2023,01-Oct-23,0,2023-2024
Customer 5,Product 6,November,2023,01-Nov-23,0,2023-2024
Customer 5,Product 6,December,2023,01-Dec-23,0,2023-2024
Customer 6,Product 9,October,2023,01-Oct-23,0,2023-2024
Customer 6,Product 9,April,2023,01-Apr-23,0,2023-2024
Customer 6,Product 9,May,2023,01-May-23,0,2023-2024
Customer 6,Product 9,June,2023,01-Jun-23,0,2023-2024
Customer 6,Product 9,July,2023,01-Jul-23,0,2023-2024
Customer 6,Product 9,August,2023,01-Aug-23,0,2023-2024
Customer 6,Product 9,September,2023,01-Sep-23,0,2023-2024
Customer 6,Product 9,October,2023,01-Oct-23,0,2023-2024
Customer 6,Product 9,November,2023,01-Nov-23,0,2023-2024
Customer 6,Product 9,December,2023,01-Dec-23,0,2023-2024
Customer 6,Product 2,April,2023,01-Apr-23,0,2023-2024
Customer 6,Product 2,June,2023,01-Jun-23,0,2023-2024
Customer 6,Product 2,July,2023,01-Jul-23,0,2023-2024
Customer 6,Product 2,August,2023,01-Aug-23,0,2023-2024
Customer 6,Product 2,October,2023,01-Oct-23,0,2023-2024
Customer 6,Product 7,April,2023,01-Apr-23,0,2023-2024
Customer 6,Product 7,May,2023,01-May-23,0,2023-2024
Customer 6,Product 7,June,2023,01-Jun-23,0,2023-2024
Customer 6,Product 7,July,2023,01-Jul-23,0,2023-2024
Customer 6,Product 7,August,2023,01-Aug-23,0,2023-2024
Customer 6,Product 7,September,2023,01-Sep-23,0,2023-2024
Customer 6,Product 7,October,2023,01-Oct-23,0,2023-2024
Customer 6,Product 7,November,2023,01-Nov-23,0,2023-2024
Customer 6,Product 7,December,2023,01-Dec-23,0,2023-2024
Customer 6,Product 8,April,2023,01-Apr-23,0,2023-2024
Customer 6,Product 8,May,2023,01-May-23,0,2023-2024
Customer 6,Product 8,June,2023,01-Jun-23,0,2023-2024
Customer 6,Product 8,July,2023,01-Jul-23,0,2023-2024
Customer 6,Product 8,August,2023,01-Aug-23,0,2023-2024
Customer 6,Product 8,September,2023,01-Sep-23,0,2023-2024
Customer 6,Product 8,October,2023,01-Oct-23,0,2023-2024
Customer 6,Product 8,November,2023,01-Nov-23,0,2023-2024
Customer 6,Product 8,December,2023,01-Dec-23,0,2023-2024
Customer 6,Product 5,April,2023,01-Apr-23,0,2023-2024
Customer 6,Product 5,October,2023,01-Oct-23,0,2023-2024
Customer 6,Product 6,April,2023,01-Apr-23,0,2023-2024
Customer 6,Product 6,July,2023,01-Jul-23,0,2023-2024
Customer 6,Product 6,September,2023,01-Sep-23,0,2023-2024
Customer 6,Product 6,October,2023,01-Oct-23,0,2023-2024
Customer 7,Product 4,December,2023,01-Dec-23,0,2023-2024
Customer 7,Product 8,April,2023,01-Apr-23,0,2023-2024
Customer 7,Product 8,May,2023,01-May-23,0,2023-2024
Customer 7,Product 8,June,2023,01-Jun-23,0,2023-2024
Customer 7,Product 8,July,2023,01-Jul-23,0,2023-2024
Customer 7,Product 8,August,2023,01-Aug-23,0,2023-2024
Customer 7,Product 8,September,2023,01-Sep-23,0,2023-2024
Customer 7,Product 8,October,2023,01-Oct-23,0,2023-2024
Customer 7,Product 8,November,2023,01-Nov-23,0,2023-2024
Customer 7,Product 8,December,2023,01-Dec-23,0,2023-2024
Customer 7,Product 5,April,2023,01-Apr-23,0,2023-2024
Customer 7,Product 5,September,2023,01-Sep-23,0,2023-2024
Customer 7,Product 6,April,2023,01-Apr-23,0,2023-2024
Customer 7,Product 6,July,2023,01-Jul-23,0,2023-2024
Customer 7,Product 6,August,2023,01-Aug-23,0,2023-2024
Customer 7,Product 6,September,2023,01-Sep-23,0,2023-2024
Customer 8,Product 2,July,2023,01-Jul-23,0,2023-2024
Customer 8,Product 2,August,2023,01-Aug-23,0,2023-2024
Customer 8,Product 2,October,2023,01-Oct-23,0,2023-2024
Customer 8,Product 2,November,2023,01-Nov-23,0,2023-2024
Customer 8,Product 7,April,2023,01-Apr-23,0,2023-2024
Customer 8,Product 7,May,2023,01-May-23,0,2023-2024
Customer 8,Product 7,June,2023,01-Jun-23,0,2023-2024
Customer 8,Product 7,July,2023,01-Jul-23,0,2023-2024
Customer 8,Product 7,August,2023,01-Aug-23,0,2023-2024
Customer 8,Product 7,September,2023,01-Sep-23,0,2023-2024
Customer 8,Product 7,October,2023,01-Oct-23,0,2023-2024
Customer 8,Product 7,November,2023,01-Nov-23,0,2023-2024
Customer 8,Product 7,December,2023,01-Dec-23,0,2023-2024
Customer 8,Product 8,April,2023,01-Apr-23,0,2023-2024
Customer 8,Product 8,May,2023,01-May-23,0,2023-2024
Customer 8,Product 8,June,2023,01-Jun-23,0,2023-2024
Customer 8,Product 8,July,2023,01-Jul-23,0,2023-2024
Customer 8,Product 8,August,2023,01-Aug-23,0,2023-2024
Customer 8,Product 8,September,2023,01-Sep-23,0,2023-2024
Customer 8,Product 8,October,2023,01-Oct-23,0,2023-2024
Customer 8,Product 8,November,2023,01-Nov-23,0,2023-2024
Customer 8,Product 8,December,2023,01-Dec-23,0,2023-2024
Customer 8,Product 5,April,2023,01-Apr-23,0,2023-2024
Customer 8,Product 6,August,2023,01-Aug-23,0,2023-2024
Customer 9,Product 3,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 3,June,2023,01-Jun-23,0,2023-2024
Customer 9,Product 3,September,2023,01-Sep-23,0,2023-2024
Customer 9,Product 9,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 2,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 2,July,2023,01-Jul-23,0,2023-2024
Customer 9,Product 2,August,2023,01-Aug-23,0,2023-2024
Customer 9,Product 2,October,2023,01-Oct-23,0,2023-2024
Customer 9,Product 2,November,2023,01-Nov-23,0,2023-2024
Customer 9,Product 2,December,2023,01-Dec-23,0,2023-2024
Customer 9,Product 4,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 8,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 8,May,2023,01-May-23,0,2023-2024
Customer 9,Product 8,June,2023,01-Jun-23,0,2023-2024
Customer 9,Product 8,July,2023,01-Jul-23,0,2023-2024
Customer 9,Product 8,August,2023,01-Aug-23,0,2023-2024
Customer 9,Product 8,September,2023,01-Sep-23,0,2023-2024
Customer 9,Product 8,October,2023,01-Oct-23,0,2023-2024
Customer 9,Product 8,November,2023,01-Nov-23,0,2023-2024
Customer 9,Product 8,December,2023,01-Dec-23,0,2023-2024
Customer 9,Product 5,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 5,October,2023,01-Oct-23,0,2023-2024
Customer 9,Product 5,November,2023,01-Nov-23,0,2023-2024
Customer 9,Product 10,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 6,April,2023,01-Apr-23,0,2023-2024
Customer 9,Product 6,May,2023,01-May-23,0,2023-2024
Customer 9,Product 6,June,2023,01-Jun-23,0,2023-2024
Customer 9,Product 6,July,2023,01-Jul-23,0,2023-2024
Customer 9,Product 6,August,2023,01-Aug-23,0,2023-2024
Customer 9,Product 6,September,2023,01-Sep-23,0,2023-2024
Customer 10,Product 5,April,2023,01-Apr-23,0,2023-2024
Customer 10,Product 5,August,2023,01-Aug-23,0,2023-2024
Customer 10,Product 5,September,2023,01-Sep-23,0,2023-2024
Customer 10,Product 5,October,2023,01-Oct-23,0,2023-2024
Customer 10,Product 5,November,2023,01-Nov-23,0,2023-2024
Customer 10,Product 5,December,2023,01-Dec-23,0,2023-2024
Customer 3,Product 2,April,2022,01-Apr-22,0,2022-2023
Customer 3,Product 2,May,2022,01-May-22,0,2022-2023
Customer 3,Product 2,June,2022,01-Jun-22,0,2022-2023
Customer 3,Product 2,July,2022,01-Jul-22,0,2022-2023
Customer 3,Product 2,August,2022,01-Aug-22,0,2022-2023
Customer 3,Product 2,September,2022,01-Sep-22,0,2022-2023
Customer 3,Product 2,October,2022,01-Oct-22,0,2022-2023
Customer 3,Product 2,November,2022,01-Nov-22,0,2022-2023
Customer 3,Product 2,December,2022,01-Dec-22,0,2022-2023
Customer 1,Product 3,March,2024,01-Mar-24,0,2023-2024
Customer 1,Product 6,January,2024,01-Jan-24,0,2023-2024
Customer 1,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 1,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 1,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 2,Product 7,January,2024,01-Jan-24,0,2023-2024
Customer 2,Product 7,February,2024,01-Feb-24,0,2023-2024
Customer 2,Product 7,March,2024,01-Mar-24,0,2023-2024
Customer 2,Product 8,January,2024,01-Jan-24,0,2023-2024
Customer 2,Product 8,February,2024,01-Feb-24,0,2023-2024
Customer 2,Product 8,March,2024,01-Mar-24,0,2023-2024
Customer 2,Product 6,January,2024,01-Jan-24,0,2023-2024
Customer 2,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 2,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 2,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 3,Product 2,January,2024,01-Jan-24,0,2023-2024
Customer 3,Product 2,February,2024,01-Feb-24,0,2023-2024
Customer 3,Product 2,March,2024,01-Mar-24,0,2023-2024
Customer 3,Product 6,March,2024,01-Mar-24,0,2023-2024
Customer 3,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 3,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 3,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 4,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 4,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 4,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 4,Product 10,January,2024,01-Jan-24,0,2023-2024
Customer 5,Product 3,January,2024,01-Jan-24,0,2023-2024
Customer 5,Product 9,January,2024,01-Jan-24,0,2023-2024
Customer 5,Product 2,January,2024,01-Jan-24,0,2023-2024
Customer 5,Product 2,February,2024,01-Feb-24,0,2023-2024
Customer 5,Product 2,March,2024,01-Mar-24,0,2023-2024
Customer 5,Product 8,January,2024,01-Jan-24,0,2023-2024
Customer 5,Product 8,February,2024,01-Feb-24,0,2023-2024
Customer 5,Product 8,March,2024,01-Mar-24,0,2023-2024
Customer 5,Product 5,January,2024,01-Jan-24,0,2023-2024
Customer 5,Product 6,January,2024,01-Jan-24,0,2023-2024
Customer 5,Product 6,February,2024,01-Feb-24,0,2023-2024
Customer 5,Product 6,March,2024,01-Mar-24,0,2023-2024
Customer 5,Product 10,February,2024,01-Feb-24,0,2023-2024
Customer 5,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 5,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 6,Product 3,March,2024,01-Mar-24,0,2023-2024
Customer 6,Product 11,January,2024,01-Jan-24,0,2023-2024
Customer 6,Product 9,February,2024,01-Feb-24,0,2023-2024
Customer 6,Product 9,March,2024,01-Mar-24,0,2023-2024
Customer 6,Product 7,January,2024,01-Jan-24,0,2023-2024
Customer 6,Product 7,February,2024,01-Feb-24,0,2023-2024
Customer 6,Product 7,March,2024,01-Mar-24,0,2023-2024
Customer 6,Product 8,January,2024,01-Jan-24,0,2023-2024
Customer 6,Product 8,February,2024,01-Feb-24,0,2023-2024
Customer 6,Product 8,March,2024,01-Mar-24,0,2023-2024
Customer 6,Product 5,February,2024,01-Feb-24,0,2023-2024
Customer 6,Product 6,February,2024,01-Feb-24,0,2023-2024
Customer 6,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 6,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 6,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 7,Product 4,March,2024,01-Mar-24,0,2023-2024
Customer 7,Product 8,January,2024,01-Jan-24,0,2023-2024
Customer 7,Product 8,February,2024,01-Feb-24,0,2023-2024
Customer 7,Product 8,March,2024,01-Mar-24,0,2023-2024
Customer 7,Product 6,February,2024,01-Feb-24,0,2023-2024
Customer 7,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 7,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 7,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 8,Product 7,January,2024,01-Jan-24,0,2023-2024
Customer 8,Product 7,February,2024,01-Feb-24,0,2023-2024
Customer 8,Product 7,March,2024,01-Mar-24,0,2023-2024
Customer 8,Product 8,January,2024,01-Jan-24,0,2023-2024
Customer 8,Product 8,February,2024,01-Feb-24,0,2023-2024
Customer 8,Product 8,March,2024,01-Mar-24,0,2023-2024
Customer 8,Product 6,January,2024,01-Jan-24,0,2023-2024
Customer 8,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 8,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 8,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 9,Product 8,January,2024,01-Jan-24,0,2023-2024
Customer 9,Product 8,February,2024,01-Feb-24,0,2023-2024
Customer 9,Product 8,March,2024,01-Mar-24,0,2023-2024
Customer 9,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 9,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 9,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 9,Product 6,January,2024,01-Jan-24,0,2023-2024
Customer 9,Product 6,February,2024,01-Feb-24,0,2023-2024
Customer 10,Product 1,January,2024,01-Jan-24,0,2023-2024
Customer 10,Product 1,February,2024,01-Feb-24,0,2023-2024
Customer 10,Product 1,March,2024,01-Mar-24,0,2023-2024
Customer 9,Product 3,January,2022,01-Jan-22,,2021-2022
Customer 9,Product 3,February,2022,01-Feb-22,,2021-2022
Customer 9,Product 4,April,2021,01-Apr-21,,2021-2022
Customer 9,Product 10,April,2021,01-Apr-21,,2021-2022
Customer 9,Product 9,May,2021,01-May-21,,2021-2022
Customer 9,Product 10,May,2021,01-May-21,,2021-2022
Customer 9,Product 3,June,2021,01-Jun-21,,2021-2022
Customer 9,Product 2,June,2021,01-Jun-21,,2021-2022
Customer 9,Product 3,July,2021,01-Jul-21,,2021-2022
Customer 9,Product 3,August,2021,01-Aug-21,,2021-2022
Customer 9,Product 3,September,2021,01-Sep-21,,2021-2022
Customer 9,Product 3,October,2021,01-Oct-21,,2021-2022
Customer 9,Product 3,November,2021,01-Nov-21,,2021-2022
Customer 9,Product 3,December,2021,01-Dec-21,,2021-2022
Customer 9,Product 2,December,2021,01-Dec-21,,2021-2022
Customer 11,Product 4,April,2021,01-Apr-21,,2021-2022
Customer 11,Product 4,May,2021,01-May-21,,2021-2022
Customer 12,Product 2,January,2022,01-Jan-22,,2021-2022
Customer 12,Product 2,February,2022,01-Feb-22,,2021-2022
Customer 12,Product 4,April,2021,01-Apr-21,,2021-2022
Customer 12,Product 10,April,2021,01-Apr-21,,2021-2022
Customer 12,Product 2,July,2021,01-Jul-21,,2021-2022
Customer 12,Product 2,September,2021,01-Sep-21,,2021-2022
Customer 12,Product 2,October,2021,01-Oct-21,,2021-2022
Customer 12,Product 2,November,2021,01-Nov-21,,2021-2022
Customer 12,Product 2,December,2021,01-Dec-21,,2021-2022
Customer 2,Product 3,January,2022,01-Jan-22,,2021-2022
Customer 2,Product 3,February,2022,01-Feb-22,,2021-2022
Customer 2,Product 3,April,2021,01-Apr-21,,2021-2022
Customer 2,Product 2,April,2021,01-Apr-21,,2021-2022
Customer 2,Product 3,May,2021,01-May-21,,2021-2022
Customer 2,Product 10,May,2021,01-May-21,,2021-2022
Customer 2,Product 3,June,2021,01-Jun-21,,2021-2022
Customer 2,Product 3,July,2021,01-Jul-21,,2021-2022
Customer 2,Product 2,July,2021,01-Jul-21,,2021-2022
Customer 2,Product 3,August,2021,01-Aug-21,,2021-2022
Customer 2,Product 3,September,2021,01-Sep-21,,2021-2022
Customer 2,Product 3,October,2021,01-Oct-21,,2021-2022
Customer 2,Product 3,November,2021,01-Nov-21,,2021-2022
Customer 2,Product 3,December,2021,01-Dec-21,,2021-2022
Customer 10,Product 9,April,2021,01-Apr-21,,2021-2022
Customer 10,Product 4,February,2022,01-Feb-22,,2021-2022
Customer 10,Product 4,March,2022,01-Mar-22,,2021-2022
Customer 10,Product 4,April,2021,01-Apr-21,,2021-2022
Customer 10,Product 4,May,2021,01-May-21,,2021-2022
Customer 10,Product 4,June,2021,01-Jun-21,,2021-2022
Customer 10,Product 4,July,2021,01-Jul-21,,2021-2022
Customer 10,Product 4,August,2021,01-Aug-21,,2021-2022
Customer 10,Product 4,September,2021,01-Sep-21,,2021-2022
Customer 10,Product 4,October,2021,01-Oct-21,,2021-2022
Customer 10,Product 4,November,2021,01-Nov-21,,2021-2022
Customer 10,Product 4,December,2021,01-Dec-21,,2021-2022
Customer 1,Product 3,January,2022,01-Jan-22,,2021-2022
Customer 1,Product 3,February,2022,01-Feb-22,,2021-2022
Customer 1,Product 3,April,2021,01-Apr-21,,2021-2022
Customer 1,Product 3,May,2021,01-May-21,,2021-2022
